datalen_bytes,pub_count,sub_count,best_effort,multicast,durability,mean_latency_us,mean_total_throughput_mbps,mean_sample_rate,samples_received,samples_lost
100,10,50,True,False,3,3997.2426281133694,684.6900840336134,855851.5882352941,512408427.0,77762125.0
100,10,50,False,True,0,6971.447355883754,608.9310402684563,761147.8422818792,454789811.0,0.0
100,10,50,False,True,1,6837.542665277296,615.5213087248322,769396.3573825504,459904990.0,0.0
100,10,50,False,True,2,6588.097378707749,616.9758389261744,771194.9010067114,461021705.0,0.0
100,10,50,False,True,3,6930.870025599255,611.9505033557047,764923.1946308725,456977280.0,0.0
100,10,50,False,False,0,7542.208791208791,486.8495798319328,608557.4991596639,363655355.0,0.0
100,10,50,False,False,1,7380.947191483401,486.31008403361346,607897.9344537815,363278725.0,0.0
100,10,50,False,False,2,7066.8036974315555,484.9156302521009,606118.0806722689,362122534.0,0.0
100,10,50,False,False,3,7187.807194046307,486.3211764705883,607861.5731092436,363459113.0,0.0
100,10,75,True,True,0,6256.124066390042,1121.4102521008406,1401718.9915966387,837317623.0,2702319096.0
100,10,75,True,True,1,7024.5787805614245,1134.509075630252,1418116.2050420167,846624895.0,2563216702.0
100,10,75,True,True,2,6419.985478446958,1142.8340604026848,1428492.7751677851,854936871.0,2470739046.0
100,10,75,True,True,3,6555.9726473461415,1132.6850420168068,1415834.3210084033,846149506.0,2615729775.0
100,10,75,True,False,0,4792.366191275168,700.0784511784511,875070.3333333334,523131180.0,26752580.0
100,10,75,True,False,1,3841.745185449358,692.4085714285715,865463.43697479,518133767.0,25027164.0
100,10,75,True,False,2,4284.78581575784,702.3484033613445,877885.0924369748,525659381.0,21638051.0
100,10,75,True,False,3,4607.00544048869,696.8656040268456,871023.7651006711,521635491.0,29109149.0
100,10,75,False,True,0,11095.815608683704,459.1244966442952,573884.2734899329,342817791.0,0.0
100,10,75,False,True,1,11633.715707369554,452.5993288590605,565722.312080537,337634023.0,0.0
100,10,75,False,True,2,11517.208413001912,453.7734899328859,567191.9345637584,338609358.0,0.0
100,10,75,False,True,3,12043.120533182077,451.244966442953,564005.1929530201,336780688.0,0.0
100,10,75,False,False,0,13667.969795539033,450.2759663865546,562808.5260504201,336443731.0,0.0
100,10,75,False,False,1,14057.236811526842,453.63831932773115,566980.662184874,338832983.0,0.0
100,10,75,False,False,2,13791.6728366497,448.57277310924377,560677.5546218487,335298945.0,0.0
100,10,75,False,False,3,14132.430412371134,448.8956302521009,561089.8235294118,335382919.0,0.0
100,1,10,True,True,0,2082.8961356647264,904.1129411764705,1130144.8453781512,674279666.0,43166151.0
100,1,10,True,True,1,3283.220040766762,944.5546218487395,1180686.1445378151,704535700.0,38341732.0
100,1,10,True,True,2,3359.0916209592206,932.6551260504202,1165814.3899159664,695618377.0,33007409.0
100,1,10,True,True,3,3606.921855151729,962.6354621848739,1203294.1630252101,717872505.0,40282923.0
100,1,10,True,False,0,202.86974536599206,225.78302521008402,282229.3058823529,168271868.0,1946.0
100,1,10,True,False,1,225.73770160691478,224.67781512605046,280840.34789915965,167552147.0,230316.0
100,1,10,True,False,2,298.4997791105113,220.9021848739496,276120.02521008404,164765803.0,614646.0
100,1,10,True,False,3,217.62348055341687,228.70621848739498,285861.33781512605,170518762.0,2681.0
100,1,10,False,True,0,214.4766088785836,434.2631932773109,542821.5915966387,323703063.0,0.0
100,1,10,False,True,1,222.21160644056098,428.9971428571429,536239.8352941177,319829974.0,0.0
100,1,10,False,True,2,216.3947513606665,430.24268907563027,537805.7344537815,320798997.0,0.0
100,1,10,False,True,3,219.9911824728775,430.08420168067227,537599.1109243698,320570645.0,0.0
100,1,10,False,False,0,762.4516051952056,173.0894117647059,216372.20840336135,129037845.0,0.0
100,1,10,False,False,1,815.283746491682,170.13546218487394,212670.23025210085,126817437.0,0.0
100,1,10,False,False,2,824.7281779244764,169.76436974789914,212215.01512605042,126580022.0,0.0
100,1,10,False,False,3,807.6519262797348,169.78201680672268,212227.01008403362,126584447.0,0.0
100,1,1,True,True,0,51.047739911712995,95.07277310924368,118840.9075630252,70815451.0,28481.0
100,1,1,True,True,1,43.802407216055194,95.57993254637435,119475.8634064081,71271272.0,24261.0
100,1,1,True,True,2,43.63433811313541,95.08636363636364,118857.83838383839,70913684.0,21160.0
100,1,1,True,True,3,42.198350756079215,95.0433389544688,118802.74704890388,70792956.0,18001.0
